"id","ptx","pty","srid","station","offset","side","descript","sols","procresult","alid","alname","algrp1","algrp2"
"972","2170707","267000","2274","","","","I124 with point way out of bounds","0","no valid station offset found, point is out of bounds","31","I124","I124","I124"
"973","2173951","261965","2274","16799.5415","199.47","R","I124 with missing station offset","1","single station offset found","31","I124","I124","I124"
"974","2173951","261965","2274","16799.5415","199.47","R","I124 with missing offset","1","single station offset found","31","I124","I124","I124"
"975","2173951","261965","2274","16799.5415","199.47","","I124 with missing point coords","","","31","I124","I124","I124"
"976","2173951","261965","2274","16799.5415","199.47","","I124 with missing ptx","","","31","I124","I124","I124"
"977","2173951","261965","2274","2596.4888","27.8488","R","Ramp_M with missing station offset","1","single station offset found","56","Ramp_M","I124","Ramps"
"978","2173951","261965","2274","2596.4888","27.8488","","Ramp_M with missing point coords","","","56","Ramp_M","I124","Ramps"
"979","2173181.093","263108.3811","2274","20300","349.9999","R","RFP2 with missing station offset","1","single station offset found","43","RFP2","I124","Cross_Streets"
"980","2173151.3387","263148.5641","2274","20300","300","","RFP2 with missing point coords","","","43","RFP2","I124","Cross_Streets"
"981","2174322","260177","2274","340.16","252.0147","R","Chestnut with missing station offset","2","2 stations offsets found","37","Chestnut","I124","Cross_Streets"
"982","2174322","260177","2274","340.16","252.0147","","Chestnut with missing point coords","","","37","Chestnut","I124","Cross_Streets"
"983","2174322","260177","2274","340.16","252.0147","R","Chestnut with missing station offset 2","2","2 stations offsets found","37","Chestnut","I124","Cross_Streets"
"984","2174322","260177","2274","459.7637","269.4925","","Chestnut with missing point coords 2","","","37","Chestnut","I124","Cross_Streets"
"985","2173181.093","263108.3811","2274","20300","350","","RFP2 with everything filled out","","","43","RFP2","I124","Cross_Streets"
"986","","","2274","","","","Chestnut with no coords or anything","","","37","Chestnut","I124","Cross_Streets"
"987","2174188","260229","2274","284.03","384.3379","R","Chestnut outside of squarebuffs","2","2 stations offsets found","37","Chestnut","I124","Cross_Streets"
"988","2174666.4381","260426.6901","2274","101.27","-100","","Chestnut on the edge missing point","","","37","Chestnut","I124","Cross_Streets"
"989","2174375.9023","260127.2705","2274","483.2","200","","Chestnut on the edge 2 missing point","","","37","Chestnut","I124","Cross_Streets"
"990","2174666.438","260426.6901","2274","","","","Chestnut on the edge missing stat off","0","no valid station offset found, point is out of bounds","37","Chestnut","I124","Cross_Streets"
"991","2174375.902","260127.2705","2274","391.5369","199.6806","R","Chestnut on the edge 2 missing stat off","1","single station offset found","37","Chestnut","I124","Cross_Streets"